Linux 6.17.0-19-generic (ale-VM) 	03/16/26 	_x86_64_	(16 CPU)

11:39:17      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:39:18     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:19     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:20     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:21     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:22     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:23     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:24     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:25     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:26     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
11:39:27     1000      5683    0.00  100.00    0.00    0.00  100.00    11  tester_getpid
Average:     1000      5683    0.00  100.00    0.00    0.00  100.00     -  tester_getpid
